"Reference","Value","Footprint","Qty"
"C1,C2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2"
"C3,C9,C10,C11,C12,C13,C14,C15","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","8"
"C5,C6,C7,C8","4.7n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","4"
"C16","470n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1"
"D1,D2,D3,D4,D5","BAT85","Diode_THT:D_A-405_P7.62mm_Horizontal","5"
"D6,D7,D8,D9,D10,D11,D12,D13,D18","LED","LED_THT:LED_D3.0mm","9"
"D14,D15,D16,D17","LED_Dual_Bidirectional","LED_THT:LED_D5.0mm","4"
"J1","Eurorack Power","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","1"
"J2,J3,J5,J7","Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","4"
"J4,J6,J8,J9","Conn_01x10","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","4"
"J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21","3.5mm jack","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","12"
"Q1,Q2,Q3,Q4","2N3904","Package_TO_SOT_THT:TO-92L_Inline_Wide","4"
"R1,R12,R15,R18,R21,R23,R25,R27,RV1,RV2,RV3,RV4,RV5","10k","-- mixed values --","13"
"R2,R3,R5,R7,R9,R24,R26,R28","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","8"
"R4,R6,R8,R10","300k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4"
"R11,R14,R17,R20","30k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4"
"R13,R16,R19,R22","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4"
"R29","18K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1"
"R30","6.8K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1"
"R31","30K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1"
"R32","12K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1"
"R33,R34,R35,R36,R37,R38,R39,R40,R45","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","9"
"R41,R42,R43,R44","330R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4"
"SW1,SW2,SW3,SW4,SW5","SW_Push","Button_Switch_THT:SW_PUSH_6mm","5"
"U1","L7805","Package_TO_SOT_THT:TO-220-3_Vertical","1"
"U2","Pico","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH","1"
"U3","MCP6004","Package_DIP:DIP-14_W7.62mm_Socket","1"
"U4","CD4051B","Package_DIP:DIP-16_W7.62mm_Socket","1"
"U5,U7","TL074","Package_DIP:DIP-14_W7.62mm_Socket","2"
"U6","74HC595","Package_DIP:DIP-16_W7.62mm_Socket","1"
